drug_id,atc_code
DDInter1,J05AR13
DDInter1,J05AR02
DDInter1,J05AR04
DDInter1,J05AF06
DDInter10,N07BB03
DDInter1000,L01XX62
DDInter1001,L01DC04
DDInter1002,L01XG03
DDInter1003,L04AC13
DDInter1004,S01AA24
DDInter1004,J01GB04
DDInter1004,A07AA08
DDInter1005,A07BC02
DDInter1007,N01AX03
DDInter1008,G01AF11
DDInter1008,G01AF20
DDInter1008,J02AB02
DDInter1008,H02CA03
DDInter1008,D01AC08
DDInter1009,M01AE03
DDInter1009,M02AA10
DDInter1009,M01AE53
DDInter101,B02BD03
DDInter1010,M01AB15
DDInter1010,S01FB51
DDInter1010,S01BC05
DDInter1011,M01AB15
DDInter1011,S01FB51
DDInter1011,S01BC05
DDInter1012,S01GX08
DDInter1012,R06AX17
DDInter1013,C07BG01
DDInter1013,C07CG01
DDInter1013,C07AG01
DDInter1014,N03AX18
DDInter1015,G01AD01
DDInter1016,A06AD12
DDInter1018,A06AD61
DDInter1018,A06AD11
DDInter1019,J05AR27
DDInter1019,J05AR02
DDInter1019,J05AR25
DDInter1019,J05AR11
DDInter1019,J05AR07
DDInter1019,J05AR01
DDInter1019,J05AR13
DDInter1019,J05AR12
DDInter1019,J05AR24
DDInter1019,J05AR04
DDInter1019,J05AR16
DDInter1019,J05AR05
DDInter1019,J05AF05
DDInter102,B02BD02
DDInter1020,N03AX09
DDInter1021,H01CB03
DDInter1022,A02BC03
DDInter1022,A02BD02
DDInter1022,A02BD07
DDInter1022,A02BD09
DDInter1022,A02BD10
DDInter1022,A02BD03
DDInter1022,A02BC53
DDInter1023,V03AE03
DDInter1024,L01EH01
DDInter1025,A16AB05
DDInter1026,L01EX12
DDInter1027,N02CC08
DDInter1028,S01EE01
DDInter1028,S01EE51
DDInter103,L04AA03
DDInter1031,J05AP51
DDInter1032,J01XX12
DDInter1033,L04AA13
DDInter1034,N05CM21
DDInter1035,L04AX04
DDInter1036,L01EX08
DDInter1037,B01AE02
DDInter1038,M04AB05
DDInter1039,J05AX18
DDInter1040,L02BG04
DDInter1041,V03AF06
DDInter1041,V03AF03
DDInter1042,L02AE51
DDInter1042,L02AE02
DDInter1043,N07BC03
DDInter1044,P02CE01
DDInter1045,C08CA17
DDInter1046,N03AX14
DDInter1049,S01ED03
DDInter105,B01AB02
DDInter1050,S01ED03
DDInter1051,N01BB10
DDInter1052,A16AA01
DDInter1053,R06AE09
DDInter1054,N04BA03
DDInter1054,N04BA01
DDInter1054,N04BA02
DDInter1055,J01MA12
DDInter1055,A02BD10
DDInter1055,J01RA05
DDInter1055,S01AE05
DDInter1056,V03AF10
DDInter1056,V03AF04
DDInter1059,N06AX28
DDInter106,L04AA04
DDInter1061,G03AB03
DDInter1061,G03AD01
DDInter1061,G03AC03
DDInter1061,G03FB09
DDInter1061,G03AA07
DDInter1061,G03FA11
DDInter1064,H03AA01
DDInter1066,S01HA07
DDInter1066,D04AB01
DDInter1066,R02AD02
DDInter1066,C01BB01
DDInter1066,S02DA01
DDInter1066,N01BB52
DDInter1066,C05AD01
DDInter1066,N01BB02
DDInter1067,S01HA07
DDInter1067,D04AB01
DDInter1067,R02AD02
DDInter1067,C01BB01
DDInter1067,S02DA01
DDInter1067,N01BB52
DDInter1067,C05AD01
DDInter1067,N01BB02
DDInter1068,S01HA07
DDInter1068,D04AB01
DDInter1068,R02AD02
DDInter1068,C01BB01
DDInter1068,S02DA01
DDInter1068,N01BB52
DDInter1068,C05AD01
DDInter1068,N01BB02
DDInter1069,A06AX04
DDInter107,L02BB05
DDInter1070,A10BH05
DDInter1070,A10BD19
DDInter1070,A10BD11
DDInter1070,A10BD27
DDInter1071,J01FF02
DDInter1072,P03AB02
DDInter1073,J01XX08
DDInter1074,H03AA03
DDInter1074,H03AA02
DDInter1076,A16AX01
DDInter1077,A10AE56
DDInter1077,A10BJ02
DDInter1078,N06BA12
DDInter1079,C09BA03
DDInter1079,C10BX07
DDInter1079,C09AA03
DDInter1079,C09BB03
DDInter108,B01AF02
DDInter1082,A10AE54
DDInter1082,A10BJ03
DDInter1083,N07BC04
DDInter1084,S01AE04
DDInter1084,J01MA07
DDInter1085,C10AX12
DDInter1086,L01AD02
DDInter1087,A16AX20
DDInter1088,A07DA53
DDInter1088,A07DA03
DDInter1089,J05AR10
DDInter109,G04BE07
DDInter109,N04BC07
DDInter1090,J01DC08
DDInter1091,R06AX13
DDInter1092,N05BA56
DDInter1092,N05BA06
DDInter1093,A08AA11
DDInter1094,L01ED05
DDInter1095,C09CA01
DDInter1095,C09DA01
DDInter1095,C09DB06
DDInter1098,C10AA02
DDInter1098,C10BA01
DDInter1099,N05AH01
DDInter11,A10BD17
DDInter11,A10BF01
DDInter110,S01EA03
DDInter1100,A06AX03
DDInter1101,R07AX30
DDInter1102,N05AD10
DDInter1103,P01BF01
DDInter1104,N05AE05
DDInter1105,L01XX69
DDInter1106,B02BX07
DDInter111,L04AA32
DDInter1110,V04CD06
DDInter1111,C02KX04
DDInter1112,A02AD02
DDInter1112,A02AF01
DDInter1113,A02AA01
DDInter1113,V03AE04
DDInter1113,A06AD01
DDInter1114,A12CC01
DDInter1114,B05XA11
DDInter1115,B05CB03
DDInter1115,A12CC04
DDInter1115,A06AD19
DDInter1116,A12CC03
DDInter1118,G04BX01
DDInter1118,A02AA04
DDInter1119,A02AA02
DDInter1119,A12CC10
DDInter1119,A06AD02
DDInter112,A04AD12
DDInter1120,A06AD04
DDInter1120,V04CC02
DDInter1120,D11AX05
DDInter1120,B05XA05
DDInter1120,A12CC02
DDInter1123,B05CX04
DDInter1123,A06AD16
DDInter1123,R05CB16
DDInter1123,B05BC01
DDInter1123,V04CX04
DDInter1124,N06AA21
DDInter1125,J05AX09
DDInter1126,A08AA05
DDInter1128,P02CA51
DDInter1128,P02CA01
DDInter113,B02AB01
DDInter1130,C02BB01
DDInter1131,H01AC03
DDInter1132,H01AC05
DDInter1133,L01AA05
DDInter1134,R06AE55
DDInter1134,R06AE05
DDInter1135,M01AG04
DDInter1135,M02AA18
DDInter1136,B03BA05
DDInter1137,G03AA08
DDInter1137,G03DA02
DDInter1137,G03FB06
DDInter1137,G03FA12
DDInter1137,L02AB02
DDInter1137,G03AA17
DDInter1137,G03AC06
DDInter1139,M01AG01
DDInter114,C01CA22
DDInter1140,P01BF02
DDInter1140,P01BC02
DDInter1141,G03FB04
DDInter1141,G03DB02
DDInter1141,G03FA08
DDInter1141,G03AC05
DDInter1141,L02AB01
DDInter1141,G03AA04
DDInter1141,G03AB01
DDInter1142,N05CH01
DDInter1143,N01BB59
DDInter1143,M01AC56
DDInter1143,M01AC06
DDInter1144,L01AA03
DDInter1145,L01AA10
DDInter1146,N06DA52
DDInter1146,N06DX01
DDInter1146,N06DA53
DDInter1148,G03GA02
DDInter1148,G03GA03
DDInter1149,A03AB12
DDInter1150,N02AB02
DDInter1150,N02AB72
DDInter1150,N02AB52
DDInter1150,N02AG03
DDInter1151,C01CA11
DDInter1152,N03AB04
DDInter1152,N03AB54
DDInter1153,N01BB53
DDInter1153,N01BB03
DDInter1154,N05BC51
DDInter1154,N05CX01
DDInter1154,N05BC01
DDInter1155,D04AA02
DDInter1155,R06AC01
DDInter1156,L01BB02
DDInter1156,R03DA20
DDInter1157,J01DH02
DDInter1157,J01DH52
DDInter1158,A07EC02
DDInter1159,N05AC03
DDInter1161,N06BA03
DDInter1162,C01CA09
DDInter1164,A10BD23
DDInter1164,A10BD02
DDInter1164,A10BD18
DDInter1164,A10BD11
DDInter1164,A10BD25
DDInter1164,A10BA02
DDInter1164,A10BD22
DDInter1164,A10BD14
DDInter1164,A10BD16
DDInter1164,A10BD17
DDInter1164,A10BD05
DDInter1164,A10BD15
DDInter1164,A10BD07
DDInter1164,A10BD10
DDInter1164,A10BD13
DDInter1164,A10BD26
DDInter1164,A10BD20
DDInter1164,A10BD08
DDInter1164,A10BD27
DDInter1164,A10BD03
DDInter1165,V04CX03
DDInter1166,N07BC02
DDInter1166,N02AC52
DDInter1167,G01AE10
DDInter1167,S01EC05
DDInter1168,R06AD04
DDInter1169,J01XX05
DDInter117,B01AE03
DDInter1170,H03BB52
DDInter1170,H03BB02
DDInter1171,V03AB26
DDInter1172,M03BA73
DDInter1172,M03BA03
DDInter1172,M03BA53
DDInter1173,N05CB01
DDInter1173,N01AF01
DDInter1173,N05CA15
DDInter1174,L04AX03
DDInter1174,L01BA01
DDInter1175,N05AA02
DDInter1176,C01CA10
DDInter1177,D05BA02
DDInter1177,D05AD02
DDInter1178,D05BA02
DDInter1178,D05AD02
DDInter1179,N02BG09
DDInter118,N05AX12
DDInter1180,A03CB01
DDInter1180,S01FA03
DDInter1180,A03BB03
DDInter1181,N03AD03
DDInter1184,A06AC06
DDInter1185,C02AB01
DDInter1186,V03AB17
DDInter1186,V04CG05
DDInter1187,G02AC01
DDInter1187,G02AB01
DDInter1188,A06AH01
DDInter1189,N06BA04
DDInter119,N06BA13
DDInter1190,N03AA01
